*Node
      1,        -200.,        -200.,           0.
      2,        -190.,        -200.,           0.
      3,        -180.,        -200.,           0.
      4,        -170.,        -200.,           0.
      5,        -160.,        -200.,           0.
      6,        -150.,        -200.,           0.
      7,        -140.,        -200.,           0.
      8,        -130.,        -200.,           0.
      9,        -120.,        -200.,           0.
     10,        -110.,        -200.,           0.
     11,        -100.,        -200.,           0.
     12,         -90.,        -200.,           0.
     13,         -80.,        -200.,           0.
     14,         -70.,        -200.,           0.
     15,         -60.,        -200.,           0.
     16,         -50.,        -200.,           0.
     17,         -40.,        -200.,           0.
     18,         -30.,        -200.,           0.
     19,         -20.,        -200.,           0.
     20,         -10.,        -200.,           0.
     21,           0.,        -200.,           0.
     22,          10.,        -200.,           0.
     23,          20.,        -200.,           0.
     24,          30.,        -200.,           0.
     25,          40.,        -200.,           0.
     26,          50.,        -200.,           0.
     27,          60.,        -200.,           0.
     28,          70.,        -200.,           0.
     29,          80.,        -200.,           0.
     30,          90.,        -200.,           0.
     31,         100.,        -200.,           0.
     32,         110.,        -200.,           0.
     33,         120.,        -200.,           0.
     34,         130.,        -200.,           0.
     35,         140.,        -200.,           0.
     36,         150.,        -200.,           0.
     37,         160.,        -200.,           0.
     38,         170.,        -200.,           0.
     39,         180.,        -200.,           0.
     40,         190.,        -200.,           0.
     41,         200.,        -200.,           0.
     42,        -200.,        -190.,           0.
     43,        -190.,        -190.,           0.
     44,        -180.,        -190.,           0.
     45,        -170.,        -190.,           0.
     46,        -160.,        -190.,           0.
     47,        -150.,        -190.,           0.
     48,        -140.,        -190.,           0.
     49,        -130.,        -190.,           0.
     50,        -120.,        -190.,           0.
     51,        -110.,        -190.,           0.
     52,        -100.,        -190.,           0.
     53,         -90.,        -190.,           0.
     54,         -80.,        -190.,           0.
     55,         -70.,        -190.,           0.
     56,         -60.,        -190.,           0.
     57,         -50.,        -190.,           0.
     58,         -40.,        -190.,           0.
     59,         -30.,        -190.,           0.
     60,         -20.,        -190.,           0.
     61,         -10.,        -190.,           0.
     62,           0.,        -190.,           0.
     63,          10.,        -190.,           0.
     64,          20.,        -190.,           0.
     65,          30.,        -190.,           0.
     66,          40.,        -190.,           0.
     67,          50.,        -190.,           0.
     68,          60.,        -190.,           0.
     69,          70.,        -190.,           0.
     70,          80.,        -190.,           0.
     71,          90.,        -190.,           0.
     72,         100.,        -190.,           0.
     73,         110.,        -190.,           0.
     74,         120.,        -190.,           0.
     75,         130.,        -190.,           0.
     76,         140.,        -190.,           0.
     77,         150.,        -190.,           0.
     78,         160.,        -190.,           0.
     79,         170.,        -190.,           0.
     80,         180.,        -190.,           0.
     81,         190.,        -190.,           0.
     82,         200.,        -190.,           0.
     83,        -200.,        -180.,           0.
     84,        -190.,        -180.,           0.
     85,        -180.,        -180.,           0.
     86,        -170.,        -180.,           0.
     87,        -160.,        -180.,           0.
     88,        -150.,        -180.,           0.
     89,        -140.,        -180.,           0.
     90,        -130.,        -180.,           0.
     91,        -120.,        -180.,           0.
     92,        -110.,        -180.,           0.
     93,        -100.,        -180.,           0.
     94,         -90.,        -180.,           0.
     95,         -80.,        -180.,           0.
     96,         -70.,        -180.,           0.
     97,         -60.,        -180.,           0.
     98,         -50.,        -180.,           0.
     99,         -40.,        -180.,           0.
    100,         -30.,        -180.,           0.
    101,         -20.,        -180.,           0.
    102,         -10.,        -180.,           0.
    103,           0.,        -180.,           0.
